0,10
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,9
9,10
10,10
11,9
12,10
13,10
14,10
15,10
16,10
17,9
18,10
19,9
20,10
21,9
22,10
23,9
24,9
25,10
26,9
27,9
28,10
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,9
45,9
46,9
47,10
48,9
49,9
50,9
51,10
52,9
53,9
54,9
55,9
56,9
57,10
58,9
59,9
60,9
61,9
62,10
63,9
64,9
65,9
66,9
67,9
68,9
69,9
70,9
71,9
72,9
73,10
74,9
75,9
76,9
77,10
78,9
79,9
80,9
81,9
82,9
83,9
84,9
85,8
86,9
87,9
88,9
89,9
90,9
91,9
92,9
93,9
94,9
95,10
96,9
97,8
